,Unnamed: 0,Good_Reads_Popularity_Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Genres,Series,Page_Number,Format,Genre_List,Rank_Score,Rating_Score,NumRatings_Score,Quality_Score
115,115,153.0,Catching Fire,Suzanne Collins,4.34,3856108.0,9780439023498,0439023491,"Young Adult, Fiction, Fantasy, Science Fiction, Romance, Audiobook, Teen","The Hunger Games, #2",391,Hardcover,"['Young Adult', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Audiobook', 'Teen']",0.7025440313111546,0.835,0.4137352419937927,0.6556381851225996
30,30,44.0,The Outsiders,S.E. Hinton,4.14,1487514.0,9780670532575,0670532576,"Classics, Young Adult, Fiction, School, Read For School, Coming Of Age, Realistic Fiction",,208,Mass Market Paperback,"['Classics', 'Young Adult', 'Fiction', 'School', 'Read For School', 'Coming Of Age', 'Realistic Fiction']",0.9158512720156555,0.7849999999999999,0.15953258617782703,0.6497002846596103
16,16,25.0,Les Misérables,Victor Hugo,4.21,824467.0,9780451525260,0451525264,"Fiction, Historical Fiction, Literature, France, Historical, Novels, French Literature",,1463,Mass Market Paperback,"['Fiction', 'Historical Fiction', 'Literature', 'France', 'Historical', 'Novels', 'French Literature']",0.9530332681017613,0.8025,0.08837294111801157,0.648475189576108
46,46,62.0,Dune,Frank Herbert,4.28,1527514.0,9780593099322,059309932X,"Science Fiction, Fantasy, Audiobook, Science Fiction Fantasy, Classics, Novels, Adventure","Dune, #1",658,Hardcover,"['Science Fiction', 'Fantasy', 'Audiobook', 'Science Fiction Fantasy', 'Classics', 'Novels', 'Adventure']",0.8806262230919766,0.8200000000000001,0.16382547311101972,0.6473981311700965
43,43,59.0,The Lovely Bones,Alice Sebold,3.86,2421669.0,9780316166683,0316166685,"Fiction, Mystery, Young Adult, Contemporary, Fantasy, Thriller, Crime",,372,Mass Market Paperback,"['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Fantasy', 'Thriller', 'Crime']",0.8864970645792564,0.715,0.2597881310047427,0.6470352651331254
23,23,33.0,Dracula,Bram Stoker,4.02,1382011.0,9780393970128,0393970124,"Horror, Fiction, Fantasy, Gothic, Paranormal, Literature, Vampires",,488,Paperback,"['Horror', 'Fiction', 'Fantasy', 'Gothic', 'Paranormal', 'Literature', 'Vampires']",0.9373776908023483,0.7549999999999999,0.1482097749250113,0.6459140087984427
32,32,46.0,The Secret Garden,Frances Hodgson Burnett,4.16,1238963.0,9780517189603,0517189607,"Fiction, Classics, Childrens, Young Adult, Historical Fiction, Middle Grade, Audiobook",,331,Hardcover,"['Fiction', 'Classics', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Audiobook']",0.9119373776908024,0.79,0.13285755267452756,0.6416322168786792
31,31,45.0,The Princess Bride,William Goldman,4.27,925418.0,9780345418265,0345418263,"Fantasy, Fiction, Romance, Humor, Adventure, Young Adult, Classics",,429,Paperback,"['Fantasy', 'Fiction', 'Romance', 'Humor', 'Adventure', 'Young Adult', 'Classics']",0.913894324853229,0.8174999999999999,0.09920722183782997,0.6405698964926405
50,50,67.0,Water for Elephants,Sara Gruen,4.11,1666323.0,9781565125605,1565125606,"Fiction, Historical Fiction, Romance, Historical, Adult Fiction, Contemporary, Audiobook",,368,Paperback,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Adult Fiction', 'Contemporary', 'Audiobook']",0.8708414872798435,0.7775000000000001,0.17872275666875836,0.635203421912565
42,42,58.0,Where the Wild Things Are,Maurice Sendak,4.25,1034305.0,9780099408390,B00BG704OS,"Picture Books, Childrens, Fiction, Classics, Fantasy, Adventure, Young Adult",,38,Paperback,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Fantasy', 'Adventure', 'Young Adult']",0.888454011741683,0.8125,0.11089321132519381,0.6323995680942314
37,37,53.0,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.88,1728881.0,9780143131847,0143131842,"Horror, Fiction, Science Fiction, Gothic, Fantasy, School, Literature",,260,Paperback,"['Horror', 'Fiction', 'Science Fiction', 'Gothic', 'Fantasy', 'School', 'Literature']",0.898238747553816,0.72,0.1854366171879251,0.630926484177904
52,52,69.0,Matilda,Roald Dahl,4.33,1038199.0,9780435123987,043512398X,"Fiction, Childrens, Classics, Fantasy, Middle Grade, Young Adult, Humor",,240,Hardcover,"['Fiction', 'Childrens', 'Classics', 'Fantasy', 'Middle Grade', 'Young Adult', 'Humor']",0.8669275929549902,0.8325,0.11131112386814011,0.6299143743424381
44,44,60.0,Green Eggs and Ham,Dr. Seuss,4.31,817071.0,9780394800165,B00297Y0JO,"Childrens, Picture Books, Classics, Fiction, Poetry, Fantasy, Humor",,64,Hardcover,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Fantasy', 'Humor']",0.8845401174168297,0.8274999999999999,0.08757918632406424,0.6283398028639511
77,77,104.0,Fahrenheit 451,Ray Bradbury,3.97,2635709.0,9780307347978,0307347974,"Fiction, Science Fiction, Dystopia, School, Literature, Novels, Audiobook",,158,Mass Market Paperback,"['Fiction', 'Science Fiction', 'Dystopia', 'School', 'Literature', 'Novels', 'Audiobook']",0.7984344422700587,0.7425,0.2827593689842568,0.6269515876033005
47,47,63.0,Life of Pi,Yann Martel,3.94,1700609.0,9780770430078,0770430074,"Fiction, Fantasy, Classics, Adventure, Magical Realism, Novels, Literature",,460,Paperback,"['Fiction', 'Fantasy', 'Classics', 'Adventure', 'Magical Realism', 'Novels', 'Literature']",0.8786692759295499,0.735,0.1824024047035445,0.6266884317828834
35,35,51.0,A Wrinkle in Time,Madeleine L'Engle,3.98,1246378.0,9781250153272,1250153271,"Fantasy, Fiction, Classics, Young Adult, Science Fiction, Childrens, Middle Grade","Time Quintet, #1",218,Paperback,"['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Science Fiction', 'Childrens', 'Middle Grade']",0.9021526418786693,0.745,0.13365334658976816,0.6244570607283982
146,146,196.0,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.4,3642100.0,9781501139239,1501139231,"Fiction, Historical Fiction, LGBT, Contemporary, Audiobook, Queer, Historical",,389,Hardcover,"['Fiction', 'Historical Fiction', 'LGBT', 'Contemporary', 'Audiobook', 'Queer', 'Historical']",0.6183953033268101,0.8500000000000001,0.39076743832382516,0.6195883528278716
60,60,79.0,Outlander,Diana Gabaldon,4.26,1116518.0,9780440242949,0440242940,"Historical Fiction, Romance, Fantasy, Fiction, Time Travel, Historical, Historical Romance","Outlander, #1",850,Mass Market Paperback,"['Historical Fiction', 'Romance', 'Fantasy', 'Fiction', 'Time Travel', 'Historical', 'Historical Romance']",0.8473581213307241,0.815,0.11971648916115808,0.619358195280637
72,72,97.0,And Then There Were None,Agatha Christie,4.28,1497601.0,9780312330873,0312330871,"Mystery, Fiction, Thriller, Crime, Mystery Thriller, Classics, Audiobook",,264,Paperback,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Classics', 'Audiobook']",0.812133072407045,0.8200000000000001,0.1606151449402049,0.6190377724448796
55,55,74.0,The Pillars of the Earth,Ken Follett,4.34,797476.0,9780451222138,045122213X,"Historical Fiction, Fiction, Historical, Fantasy, Classics, Audiobook, Medieval","Kingsbridge, #1",976,Paperback,"['Historical Fiction', 'Fiction', 'Historical', 'Fantasy', 'Classics', 'Audiobook', 'Medieval']",0.8571428571428572,0.835,0.08547620833766646,0.6190000053584429
119,119,159.0,Gone Girl,Gillian Flynn,4.14,3296196.0,9780307588371,0307588378,"Fiction, Mystery, Thriller, Mystery Thriller, Crime, Suspense, Contemporary",,415,Paperback,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Crime', 'Suspense', 'Contemporary']",0.6908023483365949,0.7849999999999999,0.353644269280348,0.6179142201187423
78,78,105.0,The Shining,Stephen King,4.28,1615787.0,9780450040184,0450040186,"Horror, Fiction, Thriller, Classics, Fantasy, Paranormal, Mystery","The Shining, #1",497,Paperback,"['Horror', 'Fiction', 'Thriller', 'Classics', 'Fantasy', 'Paranormal', 'Mystery']",0.7964774951076321,0.8200000000000001,0.17329912331736272,0.6165807350382616
51,51,68.0,The Bell Jar,Sylvia Plath,4.06,1100469.0,9780571268863,0571268862,"Fiction, Feminism, Mental Health, Psychology, Literature, Literary Fiction, Novels",,294,Paperback,"['Fiction', 'Feminism', 'Mental Health', 'Psychology', 'Literature', 'Literary Fiction', 'Novels']",0.8688845401174168,0.7649999999999999,0.11799407560138785,0.6124520387273831
67,67,89.0,The Golden Compass,Philip Pullman,4.03,1578839.0,9780679879244,B001NAR73E,"Fantasy, Young Adult, Fiction, Childrens, Adventure, Middle Grade, Audiobook","His Dark Materials, #1",399,Hardcover,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Adventure', 'Middle Grade', 'Audiobook']",0.8277886497064579,0.7575000000000001,0.1693337836571726,0.6091655949797349
62,62,83.0,My Sister’s Keeper,Jodi Picoult,4.1,1254269.0,9780743454537,0743454537,"Fiction, Chick Lit, Young Adult, Drama, Adult Fiction, Realistic Fiction, Contemporary",,423,Paperback,"['Fiction', 'Chick Lit', 'Young Adult', 'Drama', 'Adult Fiction', 'Realistic Fiction', 'Contemporary']",0.8395303326810176,0.7749999999999999,0.13450022585951377,0.6086622008302611
59,59,78.0,The Color Purple,Alice Walker,4.27,724773.0,9780143135692,0143135694,"Fiction, Historical Fiction, Feminism, LGBT, Historical, Queer, Banned Books",,287,Paperback,"['Fiction', 'Historical Fiction', 'Feminism', 'LGBT', 'Historical', 'Queer', 'Banned Books']",0.8493150684931507,0.8174999999999999,0.07767356437006875,0.6082780967082809
36,36,52.0,The Odyssey,Homer,3.82,1136887.0,9780143039952,0143039954,"Fiction, Poetry, Mythology, Fantasy, School, Literature, Adventure",,541,Paperback,"['Fiction', 'Poetry', 'Mythology', 'Fantasy', 'School', 'Literature', 'Adventure']",0.9001956947162426,0.705,0.12190253450971314,0.608149038239411
85,85,115.0,The Name of the Wind,Patrick Rothfuss,4.52,1030105.0,9780756404079,075640407X,"Fantasy, Fiction, Epic Fantasy, High Fantasy, Audiobook, Magic, Science Fiction Fantasy","The Kingkiller Chronicle, #1",662,Hardcover,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Audiobook', 'Magic', 'Science Fiction Fantasy']",0.776908023483366,0.8799999999999999,0.11044245819720858,0.6078959468525089
90,90,121.0,The Last Olympian,Rick Riordan,4.55,1090250.0,9781423101475,1423101472,"Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Greek Mythology","Percy Jackson and the Olympians, #5",381,Hardcover,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']",0.7651663405088063,0.8875,0.11689735031213044,0.6073857412971616
45,45,61.0,The Adventures of Huckleberry Finn,Mark Twain,3.83,1303886.0,9780142437179,0142437174,"Fiction, Classics, Historical Fiction, Literature, Adventure, Young Adult, School",,327,Paperback,"['Fiction', 'Classics', 'Historical Fiction', 'Literature', 'Adventure', 'Young Adult', 'School']",0.8825831702544031,0.7075,0.1398252301336193,0.607230837141847
57,57,76.0,Rebecca,Daphne du Maurier,4.25,678317.0,9780316323703,B00HG5I1TE,"Fiction, Mystery, Gothic, Romance, Classics, Historical Fiction, Thriller",,449,Kindle Edition,"['Fiction', 'Mystery', 'Gothic', 'Romance', 'Classics', 'Historical Fiction', 'Thriller']",0.8532289628180039,0.8125,0.07268780548585875,0.6068479267729593
63,63,84.0,The Brothers Karamazov,Fyodor Dostoevsky,4.38,358572.0,9780374528379,0374528373,"Fiction, Russia, Classics, Russian Literature, Literature, Philosophy, Novels",,796,Paperback,"['Fiction', 'Russia', 'Classics', 'Russian Literature', 'Literature', 'Philosophy', 'Novels']",0.837573385518591,0.845,0.03837207717451627,0.6000409773597912
61,61,80.0,Anna Karenina,Leo Tolstoy,4.1,889947.0,9780345803924,0345803922,"Fiction, Romance, Russia, Historical Fiction, Literature, Russian Literature, Novels",,964,Paperback,"['Fiction', 'Romance', 'Russia', 'Historical Fiction', 'Literature', 'Russian Literature', 'Novels']",0.8454011741682974,0.7749999999999999,0.09540039702764802,0.5992805887756134
48,48,64.0,A Tale of Two Cities,Charles Dickens,3.87,986135.0,9780141439600,0141439602,"Classics, Fiction, Historical Fiction, Literature, Historical, Novels, School",,489,Paperback,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Historical', 'Novels', 'School']",0.8767123287671232,0.7175,0.1057235022358965,0.5976519821776183
64,64,85.0,A Tree Grows in Brooklyn,Betty Smith,4.3,489023.0,9780061120077,0061120073,"Fiction, Historical Fiction, Classics, Young Adult, Coming Of Age, Historical, New York",,496,Paperback,"['Fiction', 'Historical Fiction', 'Classics', 'Young Adult', 'Coming Of Age', 'Historical', 'New York']",0.8356164383561644,0.825,0.05237236200756428,0.5974582839447351
53,53,71.0,Catch-22,Joseph Heller,3.99,861661.0,9780684833392,0684833395,"Classics, Fiction, Historical Fiction, War, Humor, Literature, Novels",,453,Paperback,"['Classics', 'Fiction', 'Historical Fiction', 'War', 'Humor', 'Literature', 'Novels']",0.863013698630137,0.7475,0.0923646820328408,0.597164884061907
83,83,112.0,It,Stephen King,4.24,1202429.0,9780450411434,0450411435,"Horror, Fiction, Thriller, Fantasy, Classics, Audiobook, Mystery",,1184,Paperback,"['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Classics', 'Audiobook', 'Mystery']",0.7827788649706457,0.81,0.12893664439409602,0.5947925393064871
49,49,65.0,Lolita,Vladimir Nabokov,3.87,899617.0,9780679723165,0679723161,"Fiction, Literature, Russia, Novels, Romance, Russian Literature, Literary Fiction",,368,Paperback,"['Fiction', 'Literature', 'Russia', 'Novels', 'Romance', 'Russian Literature', 'Literary Fiction']",0.8747553816046967,0.7175,0.09643820244374735,0.5940836133750029
81,81,109.0,Clockwork Angel,Cassandra Clare,4.31,857912.0,9781416975861,1416975861,"Fantasy, Young Adult, Romance, Paranormal, Steampunk, Historical Fiction, Fiction","The Infernal Devices, #1",479,Hardcover,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Steampunk', 'Historical Fiction', 'Fiction']",0.7886497064579256,0.8274999999999999,0.09196233120502731,0.5912985819446784
56,56,75.0,Watership Down,Richard Adams,4.09,494130.0,9780380395866,038039586X,"Classics, Fiction, Fantasy, Young Adult, Animals, Adventure, Childrens","Watership Down, #1",478,Mass Market Paperback,"['Classics', 'Fiction', 'Fantasy', 'Young Adult', 'Animals', 'Adventure', 'Childrens']",0.8551859099804305,0.7725,0.05292045634675966,0.5897005008962001
101,101,135.0,Six of Crows,Leigh Bardugo,4.47,1065200.0,9781627792127,1627792120,"Fantasy, Young Adult, Fiction, Young Adult Fantasy, LGBT, Adventure, Magic","Six of Crows, #1",480,Hardcover,"['Fantasy', 'Young Adult', 'Fiction', 'Young Adult Fantasy', 'LGBT', 'Adventure', 'Magic']",0.7377690802348337,0.8674999999999999,0.11420892987021851,0.5896203110549991
