,Good_Reads_Popularity_Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Genres,Series,Page_Number,Format
103,139,In Cold Blood,Truman Capote,4.09,698118,9780679745587,0679745580,"Nonfiction, True Crime, Crime, Mystery, History, Classics, Thriller",,343,Paperback
104,140,The Scarlet Letter,Nathaniel Hawthorne,3.44,893265,9780142437261,0142437263,"Fiction, Historical Fiction, School, Literature, High School, Historical, Read For School",,279,Paperback
105,142,Fight Club,Chuck Palahniuk,4.18,620755,9780393355949,0393355942,"Fiction, Classics, Thriller, Novels, Mystery, Literature, Audiobook",,224,Paperback
106,143,The Five People You Meet in Heaven,Mitch Albom,,763446,9780786868711,0786868716,"Fiction, Contemporary, Inspirational, Fantasy, Classics, Spirituality, Philosophy",,196,Hardcover
107,144,Watchmen,Alan Moore,4.38,578899,9780930289232,0930289234,"Graphic Novels, Fiction, Science Fiction, Fantasy, Graphic Novels Comics, Classics, Comic Book",,416,Paperback
108,145,The Girl Who Played With Fire,Stieg Larsson,4.26,955897,9780307269980,0307269981,"Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Audiobook",Millennium #2,503,Hardcover
109,146,The Divine Comedy: Inferno - Purgatorio - Paradiso,Dante Alighieri,4.08,163495,9780679433132,0679433139,"Poetry, Fiction, Literature, Philosophy, Fantasy, Italian Literature, Italy",,798,Hardcover
110,147,The Cat in the Hat,Dr. Seuss,4.19,567104,9780394800011,039480001X,"Childrens, Picture Books, Fiction, Poetry, Classics, Fantasy, Humor","Cat in the Hat, #1",61,Hardcover
111,148,All Quiet on the Western Front,Erich Maria Remarque,4.09,490602,9780449213940,B00EJ3APSG,"Fiction, Historical Fiction, War, Classics, Historical, Literature, School",,296,Mass Market Paperback
112,150,"Hush, Hush",Becca Fitzpatrick,3.92,729087,9781416989417,1416989412,"Fantasy, Young Adult, Romance, Paranormal, Angels, Paranormal Romance, Fiction","Hush, Hush, #1",391,Hardcover
113,151,The Little House Collection,Laura Ingalls Wilder,4.36,155519,9780060529963,0060529962,"Classics, Historical Fiction, Childrens, Fiction, Young Adult, Historical, Middle Grade","Little House, #1-9",2700,Paperback
114,152,Lonesome Dove,Larry McMurtry,4.55,211846,9780671683900,067168390X,"Fiction, Historical Fiction, Westerns, Classics, Historical, Adventure, Audiobook","Lonesome Dove, #1",960,Mass Market Paperback
115,153,Catching Fire,Suzanne Collins,4.34,3856108,9780439023498,0439023491,"Young Adult, Fiction, Fantasy, Science Fiction, Romance, Audiobook, Teen","The Hunger Games, #2",391,Hardcover
116,154,Peter Pan,J.M. Barrie,4.04,361614,9780805072457,0805072454,"Fantasy, Fiction, Childrens, Classics, Adventure, Audiobook, Young Adult",,155,Hardcover
117,157,The Battle of the Labyrinth,Rick Riordan,4.42,1164473,9781423101468,1423101464,"Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Greek Mythology","Percy Jackson and the Olympians, #4",361,Hardcover
118,158,Love in the Time of Cholera,Gabriel García Márquez,3.94,527673,9781400034680,140003468X,"Fiction, Historical Fiction, Magical Realism, Literature, Novels, Spanish Literature, Literary Fiction",,348,Paperback
119,159,Gone Girl,Gillian Flynn,4.14,3296196,9780307588371,0307588378,"Fiction, Mystery, Thriller, Mystery Thriller, Crime, Suspense, Contemporary",,415,Paperback
120,160,The Addiction Manifesto,Jerry Weaver,4.76,1238,9781638377634,1638377634,"Nonfiction, Self Help, Memoir, Psychology, Mental Health, Biography",,178,Paperback
121,161,Insurgent,Veronica Roth,3.97,1573354,9780007442911,0007442912,"Young Adult, Dystopia, Fantasy, Fiction, Science Fiction, Romance, Adventure","Divergent, #2",525,Hardcover
122,163,The Secret History,Donna Tartt,4.16,900547,9781400031702,1400031702,"Fiction, Mystery, Classics, Contemporary, Thriller, Literary Fiction, Mystery Thriller",,559,Paperback
123,164,The Sea of Monsters,Rick Riordan,4.24,1285126,9780786856862,0786856866,"Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Greek Mythology","Percy Jackson and the Olympians, #2",279,Hardcover
124,165,Clockwork Princess,Cassandra Clare,4.55,464113,9781406321340,1406321346,"Fantasy, Young Adult, Romance, Paranormal, Historical Fiction, Steampunk, Urban Fantasy","The Infernal Devices, #3",567,Paperback
125,167,How the Grinch Stole Christmas!,Dr. Seuss,4.38,433741,9780007173044,0007173040,"Childrens, Picture Books, Christmas, Classics, Fiction, Poetry, Fantasy",,64,Hardcover
126,168,The Ultimate Hitchhiker’s Guide to the Galaxy,Douglas Adams,4.38,332116,9780345453747,B00A2LZDTA,"Science Fiction, Fiction, Humor, Fantasy, Classics, Comedy, Science Fiction Fantasy","Hitchhiker's Guide to the Galaxy, #1-5",815,Paperback
127,170,Shadow Kiss,Richelle Mead,4.33,375441,9781595141972,1595141979,"Young Adult, Fantasy, Vampires, Paranormal, Romance, Urban Fantasy, Paranormal Romance","Vampire Academy, #3",443,Paperback
128,171,The Compleat Works of Wllm Shkspr,Reduced Shakespeare Company,4.43,9670,9781557831576,B002K27PVS,"Plays, Classics, Humor, Drama, Fiction, Theatre, Comedy",,137,Kindle Edition
129,172,The Elephant Tree,R.D. Ronald,3.78,31314,9781848764569,1848764561,"Thriller, Mystery, Fiction, Crime, Drama, Contemporary, Novels",,252,Paperback
130,173,The Maze Runner,James Dashner,4.05,1611433,9780385737944,0385737947,"Young Adult, Dystopia, Science Fiction, Fiction, Fantasy, Audiobook, Post Apocalyptic","The Maze Runner, #1",384,Hardcover
131,174,Their Eyes Were Watching God,Zora Neale Hurston,3.99,368978,9780061120060,0061120065,"Classics, Fiction, Historical Fiction, School, Literature, African American, Feminism",,238,Paperback
132,175,The Importance of Being Earnest,Oscar Wilde,4.17,391057,9781580495806,158049580X,"Classics, Plays, Fiction, Drama, Humor, School, Literature",,89,Paperback
133,176,Atonement,Ian McEwan,3.95,542752,9780385721790,B00A2M6OLU,"Fiction, Historical Fiction, Classics, Romance, Historical, War, Literary Fiction",,351,Paperback
134,177,The Wonderful Wizard of Oz,L. Frank Baum,,489596,9780140621679,0140621679,"Classics, Fantasy, Fiction, Childrens, Young Adult, Adventure, Audiobook","Oz, #1",154,Paperback
135,180,"Eat, Pray, Love",Elizabeth Gilbert,3.64,1802879,9780143038412,0143038419,"Nonfiction, Memoir, Travel, Biography, Romance, Chick Lit, Spirituality",,368,Paperback
136,181,The Lorax,Dr. Seuss,4.35,358821,9780679889106,0679889108,"Childrens, Picture Books, Fiction, Classics, Poetry, Fantasy, Environment",,72,Hardcover
137,182,Goodnight Moon,Margaret Wise Brown,4.32,385904,9780060775858,0060775858,"Childrens, Picture Books, Fiction, Classics, Poetry, Kids, Animals",,32,Hardcover
138,183,The Hunger Games Trilogy Boxset,Suzanne Collins,4.49,228722,9780545265355,0545265355,"Young Adult, Fiction, Fantasy, Dystopia, Science Fiction, Romance, Adventure","The Hunger Games, #1-3",1155,Hardcover
139,184,A Midsummer Night’s Dream,William Shakespeare,3.94,560793,9780743477543,0743477545,"Plays, Fiction, Fantasy, School, Romance, Poetry, Literature",,298,Mass Market Paperback
140,187,Murder on the Orient Express,Agatha Christie,4.2,682387,9780007119318,B006VWJ2XC,"Mystery, Classics, Fiction, Crime, Mystery Thriller, Audiobook, Thriller","Hercule Poirot, #10",274,Paperback
141,189,Heart of Darkness,Joseph Conrad,3.43,536927,9781892295491,1892295490,"Fiction, Classics, Literature, Historical Fiction, Africa, School, Novels",,188,Paperback
142,191,The Selection,Kiera Cass,4.07,1678338,9780062059932,B00BG7DY04,"Romance, Young Adult, Dystopia, Fantasy, Fiction, Audiobook, Science Fiction","The Selection, #1",336,Hardcover
143,193,The Night Circus,Erin Morgenstern,4.01,1046317,9780385534635,0385534639,"Fantasy, Fiction, Romance, Historical Fiction, Magic, Young Adult, Audiobook",,506,Hardcover
144,194,The Prophet,Kahlil Gibran,4.23,315757,9780001000391,000100039X,"Poetry, Classics, Philosophy, Fiction, Spirituality, Religion, Literature",,127,Paperback
145,195,Blood Promise,Richelle Mead,4.3,321864,9781595141989,B0057DB4HI,"Young Adult, Fantasy, Vampires, Paranormal, Romance, Urban Fantasy, Paranormal Romance","Vampire Academy, #4",503,Hardcover
