,Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Genres,Series,Page_Number,Format
114,,A Pocket Full of Rye,Agatha Christie,,,9780708910665,,Fiction,,335,paperback
115,,Secret Seven Mystery,Enid Blyton,,,,,Mystery,,120,paperback
116,,Wilful Behaviour,Donna Leon,,,9780099415183,,"Brunetti, Guido (Fictitious character)",,372,paperback
117,,The Secret in the Old Lace,Carolyn Keene,,,9780671690670,,Juvenile Fiction,,180,paperback
118,,Seven Up,Janet Evanovich,4.0,,9780312980146,,Fiction,,372,paperback
119,,Hard News,Jeffery Deaver,,,9780553583298,,Fiction,,291,paperback
121,,The Golden Spiders,Rex Stout,,,,,Fiction,,202,paperback
124,,The Teen Model Mystery,Carolyn Keene,5.0,,9780671872083,,Juvenile Fiction,,164,paperback
126,,The Mystery of the Missing Necklace,Enid Blyton,4.0,,9781405203975,,Adventure fiction,,217,paperback
127,,The adventure of the Christmas pudding,Agatha Christie,,,9780006140764,,Mystery,,224,paperback
129,,SCOOB! Junior Novelization (Scooby-Doo),David Lewman,,,9780593178546,,Juvenile Fiction,,145,paperback
130,,The Secret of Chimneys,Agatha Christie,,,9782830208498,,Large type books,,435,paperback
132,,Payment in Blood,Elizabeth George,3.5,,9780553284362,,Fiction,,374,paperback
133,,Body of Evidence,Patricia Cornwell,,,9780751505122,,Detective and mystery stories,,387,paperback
135,,The Murder at the Vicarage,Agatha Christie,,,9780907486398,,Mystery,,380,paperback
137,,The Big Sleep,Raymond Chandler,,,,,Los Angeles (Calif.),,220,paperback
138,,Riverboat Ruse,Carolyn Keene,,,9780689873355,,Juvenile Fiction,,166,paperback
140,,The Secret of the Wooden Lady,Carolyn Keene,,,,,JUVENILE FICTION,,196,paperback
141,,Hardy Boys 06: the Shore Road Mystery,Franklin W. Dixon,2.5,,,,Juvenile Fiction,,210,paperback
142,,"Merry Christmas, Alex Cross",James Patterson,,,9780316224192,,Fiction,,432,paperback
143,,Strangers in Death,J. D. Robb,,,9780749938833,,Businessmen,,368,paperback
144,,The Man Who Was Thursday,G. K. Chesterton,,,9780881842258,,Fiction,,196,paperback
145,,Sparkling Cyanide,Agatha Christie,,,9780006162636,,England,,238,paperback
149,,Bloodline,Sidney Sheldon,,,9780446812054,,mystery,,460,paperback
150,,Mystery of the Ivory Charm,Carolyn Keene,5.0,,9780448195131,,Juvenile Fiction,,202,paperback
151,,The Case of the Bizarre Bouquets,Nancy Springer,,,9780142413906,,Juvenile Fiction,,170,paperback
152,,"Full Dark, No Stars",Stephen King,3.0,,9781602859463,,Fiction,,590,paperback
153,,"""C"" is for Corpse",Sue Grafton,,,9780553280364,,Fiction,,228,paperback
155,,Ghost Stories (Nancy Drew ),Carolyn Keene,5.0,,9780671691325,,Juvenile Fiction,,166,paperback
156,,Hide,Lisa Gardner,,,9781585479245,,Fiction,,455,paperback
157,,Double Sin and Other Stories,Agatha Christie,,,9780816145423,,Fiction,,297,paperback
158,,The Seventh Function of Language,Laurent Binet,,,9780374261566,,Fiction,,369,paperback
159,,Plum Lovin',Janet Evanovich,,,9780312985363,,Fiction,,292,paperback
160,,The Assassin's Blade,Sarah J. Maas,5.0,,9781408851982,,Juvenile Fiction,,465,paperback
161,,The Wind in the Willows,Kenneth Grahame,4.5,,9781853261220,,Juvenile Fiction,,202,paperback
162,,Peter Pan,James Matthew Barrie,,,9781402754265,,Fiction,,164,paperback
163,,Fablehaven,Brandon Mull,4.5,,9781416947202,,Juvenile Fiction,,384,paperback
164,,The Wizard of Oz,Lyman Frank Baum,3.0,,9781905716524,,Fiction,,188,paperback
165,,The Golden Compass,Philip Pullman,,,9780345413352,,Fiction,,372,paperback
166,,Throne of Glass,Sarah J. Maas,,,9781408832332,,Fiction,,419,paperback
