,Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Format_and_Page,Genres
0,1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34,9318770,9780439023481,0439023483,"374 pages, Hardcover","Genres
Young Adult
Fiction
Fantasy
Science Fiction
Audiobook
Teen
Post Apocalyptic"
1,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.50,3616863,Not found,0439686520,"912 pages, Paperback","Genres
Fantasy
Young Adult
Fiction
Magic
Audiobook
Childrens
Adventure"
2,3,Pride and Prejudice,Jane Austen,4.29,4517843,9781441341709,1441341706,"279 pages, Paperback","Genres
Fiction
Historical Fiction
Historical
Literature
Audiobook
Novels
Historical Romance"
3,4,To Kill a Mockingbird,Harper Lee,4.26,6564282,9780060935467,0060935464,"323 pages, Paperback","Genres
Fiction
Historical Fiction
School
Literature
Young Adult
Historical
Read For School"
4,5,The Book Thief,Markus Zusak,4.39,2746358,Not found,0375831002,"592 pages, Kindle Edition","Genres
Historical Fiction
Fiction
Young Adult
Classics
Historical
War
World War II"
5,6,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.66,7001576,9780316015844,0316015849,"498 pages, Paperback","Genres
Fantasy
Young Adult
Romance
Fiction
Vampires
Paranormal
Paranormal Romance"
6,7,Animal Farm,George Orwell,really,4227932,9780451526342,B0D7LQMF4N,"141 pages, Mass Market Paperback","Genres
Fiction
Dystopia
Fantasy
School
Literature
Science Fiction
Novels"
7,8,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61,139673,9780345538376,0345538374,"1728 pages, Mass Market Paperback","Genres
Fantasy
Fiction
Classics
Adventure
Science Fiction Fantasy
Epic Fantasy
High Fantasy"
8,9,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,4.28,685690,9780066238500,0066238501,"767 pages, Paperback","Genres
Fantasy
Classics
Fiction
Young Adult
Childrens
Christian
Middle Grade"
9,10,The Fault in Our Stars,John Green,4.13,5480703,Not found,0525478817,"313 pages, Hardcover","Genres
Young Adult
Fiction
Contemporary
Realistic Fiction
Coming Of Age
Teen
Novels"
10,11,The Picture of Dorian Gray,Oscar Wilde,4.13,1719898,Not found,B0CPCB8FJQ,"272 pages, Paperback","Genres
Classics
Fiction
Horror
Gothic
Fantasy
Literature
Novels"
11,12,The Giving Tree,Shel Silverstein,4.38,1190454,9780060256654,0060256656,"64 pages, Hardcover","Genres
Childrens
Classics
Fiction
Picture Books
Poetry
Young Adult
Fantasy"
12,13,Wuthering Heights,Emily Brontë,3.90,1921928,Not found,B00LMSVTO0,"464 pages, Paperback","Genres
Fiction
Gothic
Historical Fiction
Literature
Historical
19th Century
Novels"
13,14,Gone with the Wind,Margaret Mitchell,4.31,1247885,9780446365383,0446365386,"1037 pages, Mass Market Paperback","Genres
Classics
Historical Fiction
Fiction
Romance
Historical
Literature
War"
14,15,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.31,3264460,9780786838653,0786838655,"377 pages, Paperback","Genres
Fantasy
Young Adult
Mythology
Fiction
Middle Grade
Adventure
Greek Mythology"
15,16,The Perks of Being a Wallflower,Stephen Chbosky,4.23,1910363,Not found,B00QPHG1ZK,"213 pages, Hardcover","Genres
Young Adult
Fiction
Classics
Coming Of Age
Romance
Mental Health
Realistic Fiction"
16,17,The Little Prince,Antoine de Saint-Exupéry,4.33,2302532,9780152023980,0152023984,"96 pages, Hardcover","Genres
Classics
Fiction
Fantasy
Childrens
France
Philosophy
Young Adult"
17,18,Jane Eyre,Charlotte Brontë,4.15,2219334,9780142437209,0142437204,"532 pages, Paperback","Genres
Fiction
Gothic
Historical Fiction
Literature
Historical
School
Audiobook"
18,19,The Great Gatsby,F. Scott Fitzgerald,3.93,5602558,9780743273565,0743273567,"180 pages, Paperback","Genres
Fiction
School
Historical Fiction
Romance
Literature
Novels
Read For School"
19,20,Crime and Punishment,Fyodor Dostoevsky,4.28,991849,Not found,Not found,"671 pages, Paperback","Genres
Fiction
Russia
Russian Literature
Literature
Philosophy
Novels
Crime"
20,21,"The da Vinci Code (Robert Langdon, #2)",Dan Brown,3.93,2445294,Not found,B0DVH1BKQC,"489 pages, Paperback","Genres
Fiction
Mystery
Thriller
Mystery Thriller
Historical Fiction
Suspense
Adventure"
21,22,Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.07,588901,Not found,B0948LPG76,"239 pages, Paperback","Genres
Fantasy
Fiction
Classics
Childrens
Young Adult
Literature
Adventure"
22,23,"Divergent (Divergent, #1)",Veronica Roth,4.14,4216029,9780062024039,0062024035,"487 pages, Paperback","Genres
Young Adult
Dystopia
Fantasy
Fiction
Science Fiction
Romance
Teen"
23,24,Memoirs of a Geisha,Arthur Golden,4.16,2062520,9781400096893,1400096898,"503 pages, Mass Market Paperback","Genres
Fiction
Historical Fiction
Romance
Historical
Novels
Asia
Adult Fiction"
24,25,Les Misérables,Victor Hugo,4.21,824467,9780451525260,0451525264,"1463 pages, Mass Market Paperback","Genres
Fiction
Historical Fiction
Literature
France
Historical
Novels
French Literature"
25,26,The Alchemist,Paulo Coelho,3.92,3337364,9780061122415,B00A2KBUGQ,"197 pages, Paperback","Genres
Fiction
Fantasy
Philosophy
Self Help
Novels
Spirituality
Audiobook"
26,27,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.32,1054161,9780451528827,0451528824,"320 pages, Mass Market Paperback","Genres
Classics
Fiction
Young Adult
Historical Fiction
Childrens
Middle Grade
Audiobook"
27,28,Lord of the Flies,William Golding,3.70,3065278,9780140283334,0140283331,"182 pages, Paperback","Genres
Fiction
Classics
Young Adult
School
Dystopia
Literature
Read For School"
28,29,Romeo and Juliet,William Shakespeare,3.74,2725967,9780743477116,0743477111,"281 pages, Mass Market Paperback","Genres
Classics
Plays
Fiction
School
Read For School
Literature
High School"
29,30,"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.23,1938192,Not found,B0DLST8SW8,"216 pages, Mass Market Paperback","Genres
Science Fiction
Fiction
Humor
Fantasy
Comedy
Audiobook
Science Fiction Fantasy"
30,31,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.07,2098845,9781416914280,1416914285,"485 pages, Hardcover","Genres
Fantasy
Young Adult
Romance
Paranormal
Urban Fantasy
Fiction
Vampires"
31,32,The Help,Kathryn Stockett,4.46,2919452,9780399155345,B009CUIY52,"464 pages, Hardcover","Genres
Fiction
Historical Fiction
Historical
Adult Fiction
Contemporary
Audiobook
Book Club"
32,33,Dracula,Bram Stoker,4.02,1382011,9780393970128,0393970124,"488 pages, Paperback","Genres
Horror
Fiction
Fantasy
Gothic
Paranormal
Literature
Vampires"
33,34,Charlotte’s Web,E.B. White,4.20,1956918,9780064410939,0064410935,"184 pages, Paperback","Genres
Fiction
Childrens
Classics
Fantasy
Young Adult
Middle Grade
Animals"
34,35,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,4.31,1431622,9780812550702,0812550706,"324 pages, Mass Market Paperback","Genres
Science Fiction
Fiction
Young Adult
Fantasy
Classics
Science Fiction Fantasy
Dystopia"
35,36,Fahrenheit 451,Ray Bradbury,3.97,2635692,Not found,B0064CPN7I,"194 pages, Kindle Edition","Genres
Fiction
Science Fiction
Dystopia
School
Literature
Novels
Audiobook"
36,37,Of Mice and Men,John Steinbeck,3.89,2700572,9780142000670,0142000671,"107 pages, Paperback","Genres
Fiction
School
Historical Fiction
Literature
Read For School
Novels
High School"
37,38,Brave New World,Aldous Huxley,3.99,1971576,9780060929879,0060929871,"268 pages, Paperback","Genres
Fiction
Science Fiction
Dystopia
Literature
Novels
School
Audiobook"
38,39,The Catcher in the Rye,J.D. Salinger,3.80,3734101,9780316769174,0316769177,"277 pages, Paperback","Genres
Classics
Fiction
Young Adult
Literature
School
Coming Of Age
Novels"
39,40,One hundred years of solitude,Gabriel García Márquez,4.12,1044089,Not found,B0DLT3N34W,"417 pages, Mass Market Paperback","Genres
Fiction
Magical Realism
Fantasy
Literature
Historical Fiction
Novels
Spanish Literature"
40,41,A Thousand Splendid Suns,Khaled Hosseini,4.45,1641637,9781594489501,B002FVPH5A,"372 pages, Hardcover","Genres
Fiction
Historical Fiction
Historical
Classics
Novels
War
Literary Fiction"
41,42,1984,George Orwell,4.20,5063788,Not found,B0DWTVHT8T,"298 pages, ebook","Genres
Classics
Fiction
Science Fiction
Dystopia
Literature
Politics
Novels"
42,43,"Little Women (Little Women, #1)",Louisa May Alcott,4.16,2349811,Not found,0451529308,"449 pages, Mass Market Paperback","Genres
Fiction
Historical Fiction
Young Adult
Romance
Historical
Literature
Audiobook"
43,44,The Outsiders,S.E. Hinton,4.14,1487514,9780670532575,0670532576,"208 pages, Mass Market Paperback","Genres
Classics
Young Adult
Fiction
School
Read For School
Coming Of Age
Realistic Fiction"
44,45,The Princess Bride,William Goldman,4.27,925418,9780345418265,0345418263,"429 pages, Paperback","Genres
Fantasy
Fiction
Romance
Humor
Adventure
Young Adult
Classics"
45,46,The Secret Garden,Frances Hodgson Burnett,4.16,1238963,9780517189603,0517189607,"331 pages, Hardcover","Genres
Fiction
Classics
Childrens
Young Adult
Historical Fiction
Middle Grade
Audiobook"
46,47,The Time Traveler's Wife,Audrey Niffenegger,really,1830878,9781939126016,1939126010,"537 pages, ebook","Genres
Fiction
Romance
Fantasy
Time Travel
Science Fiction
Contemporary
Chick Lit"
47,48,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,2631401,9780553588484,0553588486,"835 pages, Mass Market Paperback","Genres
Fantasy
Fiction
Epic Fantasy
High Fantasy
Audiobook
Science Fiction Fantasy
Adventure"
48,49,"Harry Potter and the Sorcerer’s Stone (Harry Potter, #1)",J.K. Rowling,4.47,10831938,Not found,B07SBCZ16W,"333 pages, Kindle Edition","Genres
Fantasy
Fiction
Young Adult
Magic
Childrens
Middle Grade
Audiobook"
49,50,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,3940022,Not found,0545010225,"759 pages, Hardcover","Genres
Young Adult
Fiction
Magic
Childrens
Audiobook
Adventure
Middle Grade"
50,51,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.98,1246378,9781250153272,1250153271,"218 pages, Paperback","Genres
Fantasy
Fiction
Classics
Young Adult
Science Fiction
Childrens
Middle Grade"
51,52,The Odyssey,Homer,3.82,1136887,9780143039952,0143039954,"541 pages, Paperback","Genres
Fiction
Poetry
Mythology
Fantasy
School
Literature
Adventure"
52,53,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.88,1728881,9780143131847,0143131842,"260 pages, Paperback","Genres
Horror
Fiction
Science Fiction
Gothic
Fantasy
School
Literature"
53,54,The Kite Runner,Khaled Hosseini,4.35,3336334,9781594631931,159463193X,"371 pages, Paperback","Genres
Fiction
Historical Fiction
Contemporary
Novels
Historical
School
Literature"
54,55,"The Giver (The Giver, #1)",Lois Lowry,4.12,2674765,9780385732550,0385732554,"208 pages, Paperback","Genres
Young Adult
Fiction
Classics
Dystopia
Science Fiction
Fantasy
School"
55,56,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.15,2236448,9780385490818,038549081X,"311 pages, Paperback","Genres
Fiction
Classics
Dystopia
Science Fiction
Feminism
Fantasy
Audiobook"
56,57,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,4563162,9780439655484,043965548X,"435 pages, Mass Market Paperback","Genres
Fantasy
Fiction
Young Adult
Magic
Childrens
Audiobook
Middle Grade"
57,58,Where the Wild Things Are,Maurice Sendak,4.25,1034305,9780099408390,B00BG704OS,"38 pages, Paperback","Genres
Picture Books
Childrens
Fiction
Classics
Fantasy
Adventure
Young Adult"
58,59,The Lovely Bones,Alice Sebold,3.86,2421669,9780316166683,0316166685,"372 pages, Mass Market Paperback","Genres
Fiction
Mystery
Young Adult
Contemporary
Fantasy
Thriller
Crime"
59,60,Green Eggs and Ham,Dr. Seuss,4.31,817071,9780394800165,B00297Y0JO,"64 pages, Hardcover","Genres
Childrens
Picture Books
Classics
Fiction
Poetry
Fantasy
Humor"
60,61,The Adventures of Huckleberry Finn,Mark Twain,3.83,1303886,9780142437179,0142437174,"327 pages, Paperback","Genres
Fiction
Classics
Historical Fiction
Literature
Adventure
Young Adult
School"
61,62,"Dune (Dune, #1)",Frank Herbert,4.28,1527514,9780593099322,059309932X,"658 pages, Hardcover","Genres
Science Fiction
Fantasy
Audiobook
Science Fiction Fantasy
Classics
Novels
Adventure"
62,63,Life of Pi,Yann Martel,3.94,1700609,9780770430078,0770430074,"460 pages, Paperback","Genres
Fiction
Fantasy
Classics
Adventure
Magical Realism
Novels
Literature"
63,64,A Tale of Two Cities,Charles Dickens,3.87,986135,9780141439600,0141439602,"489 pages, Paperback","Genres
Classics
Fiction
Historical Fiction
Literature
Historical
Novels
School"
64,65,Lolita,Vladimir Nabokov,3.87,899617,9780679723165,0679723161,"368 pages, Paperback","Genres
Fiction
Literature
Russia
Novels
Romance
Russian Literature
Literary Fiction"
65,66,Slaughterhouse-Five,Kurt Vonnegut Jr.,4.10,1427939,Not found,Not found,"275 pages, Paperback","Genres
Fiction
Science Fiction
Classics
Historical Fiction
War
Literature
Novels"
66,67,Water for Elephants,Sara Gruen,4.11,1666323,9781565125605,1565125606,"368 pages, Paperback","Genres
Fiction
Historical Fiction
Romance
Historical
Adult Fiction
Contemporary
Audiobook"
67,68,The Bell Jar,Sylvia Plath,4.06,1100469,9780571268863,0571268862,"294 pages, Paperback","Genres
Fiction
Feminism
Mental Health
Psychology
Literature
Literary Fiction
Novels"
68,69,Matilda,Roald Dahl,4.33,1038199,9780435123987,043512398X,"240 pages, Hardcover","Genres
Fiction
Childrens
Classics
Fantasy
Middle Grade
Young Adult
Humor"
69,70,The Stand,Stephen King,4.35,800956,Not found,Not found,"1152 pages, Hardcover","Genres
Horror
Fiction
Fantasy
Science Fiction
Post Apocalyptic
Thriller
Dystopia"
70,71,Catch-22,Joseph Heller,3.99,861661,9780684833392,0684833395,"453 pages, Paperback","Genres
Classics
Fiction
Historical Fiction
War
Humor
Literature
Novels"
71,72,The Girl With the Dragon Tattoo (Millennium #1),Stieg Larsson,4.17,3332725,9780670069019,0670069019,"480 pages, Hardcover","Genres
Fiction
Mystery
Thriller
Crime
Mystery Thriller
Suspense
Contemporary"
72,73,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,4.30,316038,Not found,Not found,"389 pages, Paperback","Genres
Mystery
Fiction
Short Stories
Crime
Classics
Audiobook
Mystery Thriller"
73,74,"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.34,797476,9780451222138,045122213X,"976 pages, Paperback","Genres
Historical Fiction
Fiction
Historical
Fantasy
Classics
Audiobook
Medieval"
74,75,"Watership Down (Watership Down, #1)",Richard Adams,4.09,494130,9780380395866,038039586X,"478 pages, Mass Market Paperback","Genres
Classics
Fiction
Fantasy
Young Adult
Animals
Adventure
Childrens"
75,76,Rebecca,Daphne du Maurier,4.25,678317,9780316323703,B00HG5I1TE,"449 pages, Kindle Edition","Genres
Fiction
Mystery
Gothic
Romance
Classics
Historical Fiction
Thriller"
76,77,Great Expectations,Charles Dickens,3.80,844988,9780192833594,0192833596,"544 pages, Paperback","Genres
Classics
Fiction
Literature
Historical Fiction
School
Novels
Classic Literature"
77,78,The Color Purple,Alice Walker,4.27,724773,9780143135692,0143135694,"287 pages, Paperback","Genres
Fiction
Historical Fiction
Feminism
LGBT
Historical
Queer
Banned Books"
78,79,"Outlander (Outlander, #1)",Diana Gabaldon,4.26,1116518,9780440242949,0440242940,"850 pages, Mass Market Paperback","Genres
Historical Fiction
Romance
Fantasy
Fiction
Time Travel
Historical
Historical Romance"
79,80,Anna Karenina,Leo Tolstoy,4.10,889947,9780345803924,0345803922,"964 pages, Paperback","Genres
Fiction
Romance
Russia
Historical Fiction
Literature
Russian Literature
Novels"
80,81,One Flew Over the Cuckoo’s Nest,Ken Kesey,4.20,758365,Not found,B0072Q4CYA,"325 pages, Mass Market Paperback","Genres
Fiction
Classics
Psychology
Literature
Novels
Mental Health
School"
81,82,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.40,2982464,Not found,B0DT42KYKH,"432 pages, Kindle Edition","Genres
Fantasy
Classics
Fiction
Adventure
Audiobook
High Fantasy
Science Fiction Fantasy"
82,83,My Sister’s Keeper,Jodi Picoult,4.10,1254269,9780743454537,0743454537,"423 pages, Paperback","Genres
Fiction
Chick Lit
Young Adult
Drama
Adult Fiction
Realistic Fiction
Contemporary"
83,84,The Brothers Karamazov,Fyodor Dostoevsky,4.38,358572,9780374528379,0374528373,"796 pages, Paperback","Genres
Fiction
Russia
Classics
Russian Literature
Literature
Philosophy
Novels"
84,85,A Tree Grows in Brooklyn,Betty Smith,4.30,489023,9780061120077,0061120073,"496 pages, Paperback","Genres
Fiction
Historical Fiction
Classics
Young Adult
Coming Of Age
Historical
New York"
85,86,A Clockwork Orange,Anthony Burgess,really,743872,9780393341768,0393341763,"240 pages, Paperback","Genres
Fiction
Science Fiction
Dystopia
Horror
Literature
Novels
Banned Books"
86,87,To Kill a Mockingbird,Harper Lee,4.26,6564282,Not found,B0DSZNXDQ6,"323 pages, Paperback","Genres
Fiction
Historical Fiction
School
Literature
Young Adult
Historical
Read For School"
87,88,The Road,Cormac McCarthy,3.99,974995,9780307265432,0307265439,"241 pages, Hardcover","Genres
Fiction
Science Fiction
Dystopia
Post Apocalyptic
Horror
Literature
Novels"
88,89,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.03,1578839,9780679879244,B001NAR73E,"399 pages, Hardcover","Genres
Fantasy
Young Adult
Fiction
Childrens
Adventure
Middle Grade
Audiobook"
89,90,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.11,667681,9781595141743,159514174X,"332 pages, Paperback","Genres
Fantasy
Young Adult
Vampires
Paranormal
Romance
Urban Fantasy
Fiction"
90,91,Siddhartha,Hermann Hesse,4.08,827447,Not found,B008YEAALS,"152 pages, Mass Market Paperback","Genres
Fiction
Philosophy
Spirituality
Literature
Classics
Buddhism
German Literature"
91,92,"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,4.15,645632,9780007205233,0007205236,"452 pages, Paperback","Genres
Nonfiction
Memoir
Biography
Classics
Ireland
Autobiography
Biography Memoir"
92,93,Don Quixote,Miguel de Cervantes Saavedra,3.90,291322,Not found,0142437239,"1023 pages, Paperback","Genres
Fiction
Classics
Literature
Spanish Literature
Adventure
Historical Fiction
Novels"
93,94,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.57,3982835,Not found,B0DV2Y66LK,"752 pages, Hardcover","Genres
Fantasy
Fiction
Young Adult
Magic
Childrens
Audiobook
Middle Grade"
94,95,The Old Man and the Sea,Ernest Hemingway,3.81,1236234,9780684830490,0684830493,"96 pages, Hardcover","Genres
Fiction
Literature
Novels
School
American
Adventure
Literary Fiction"
95,96,The Poisonwood Bible,Barbara Kingsolver,4.10,769680,9780060786502,0060786507,"546 pages, Paperback","Genres
Fiction
Historical Fiction
Africa
Classics
Literary Fiction
Historical
Literature"
96,97,And Then There Were None,Agatha Christie,4.28,1497601,9780312330873,0312330871,"264 pages, Paperback","Genres
Mystery
Fiction
Thriller
Crime
Mystery Thriller
Classics
Audiobook"
97,98,The Complete Stories and Poems,Edgar Allan Poe,4.40,287738,9780385074070,0385074077,"821 pages, Hardcover","Genres
Classics
Poetry
Horror
Fiction
Short Stories
Gothic
Mystery"
98,99,Atlas Shrugged,Ayn Rand,3.69,399733,9780452011878,0452011876,"1168 pages, Paperback","Genres
Fiction
Classics
Philosophy
Politics
Literature
Science Fiction
Novels"
99,100,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,4.02,624171,9780345476876,0345476875,"346 pages, Paperback","Genres
Horror
Fantasy
Fiction
Vampires
Paranormal
Classics
Gothic"
100,101,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,4.38,386930,9780525467564,0525467564,"161 pages, Hardcover","Genres
Childrens
Fiction
Classics
Fantasy
Animals
Audiobook
Middle Grade"
101,102,"The Notebook (The Notebook, #1)",Nicholas Sparks,4.16,1784370,Not found,B000Q67J66,"227 pages, Kindle Edition","Genres
Romance
Fiction
Chick Lit
Contemporary
Classics
Adult Fiction
Contemporary Romance"
102,103,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,3495490,Not found,Not found,"672 pages, Hardcover","Genres
Fantasy
Fiction
Young Adult
Magic
Childrens
Audiobook
Adventure"
103,104,Fahrenheit 451,Ray Bradbury,3.97,2635709,9780307347978,0307347974,"158 pages, Mass Market Paperback","Genres
Fiction
Science Fiction
Dystopia
School
Literature
Novels
Audiobook"
104,105,"The Shining (The Shining, #1)",Stephen King,4.28,1615787,9780450040184,0450040186,"497 pages, Paperback","Genres
Horror
Fiction
Thriller
Classics
Fantasy
Paranormal
Mystery"
105,106,"Moby-Dick or, The Whale",Herman Melville,3.56,593435,9780142437247,0142437247,"720 pages, Paperback","Genres
Fiction
Literature
Adventure
Historical Fiction
Novels
American
19th Century"
106,107,A Prayer for Owen Meany,John Irving,4.24,329220,9780552135399,0552135399,"637 pages, Paperback","Genres
Fiction
Classics
Contemporary
Literature
Literary Fiction
Historical Fiction
Novels"
107,108,The Stranger,Albert Camus,4.03,1258313,Not found,B01181UBSU,"123 pages, Paperback","Genres
Classics
Fiction
Philosophy
France
Literature
Novels
French Literature"
108,109,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.31,857912,9781416975861,1416975861,"479 pages, Hardcover","Genres
Fantasy
Young Adult
Romance
Paranormal
Steampunk
Historical Fiction
Fiction"
109,110,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,4253686,Not found,B00ES27LCQ,"352 pages, Hardcover","Genres
Fantasy
Fiction
Young Adult
Magic
Childrens
Audiobook
Middle Grade"
110,111,The Secret Life of Bees,Sue Monk Kidd,4.10,1326085,9780142001745,0142001740,"302 pages, Paperback","Genres
Fiction
Historical Fiction
Classics
Young Adult
Historical
Contemporary
Coming Of Age"
111,112,It,Stephen King,4.24,1202429,9780450411434,0450411435,"1184 pages, Paperback","Genres
Horror
Fiction
Thriller
Fantasy
Classics
Audiobook
Mystery"
112,113,"The Hobbit, or There and Back Again",J.R.R. Tolkien,4.29,4270183,Not found,B0DN8P5BQF,"366 pages, Paperback","Genres
Fantasy
Fiction
Classics
Adventure
Young Adult
High Fantasy
Audiobook"
113,114,The Red Tent,Anita Diamant,4.20,617456,9780312353766,0312353766,"324 pages, Hardcover","Genres
Historical Fiction
Fiction
Historical
Religion
Book Club
Feminism
Womens"
114,115,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52,1030105,9780756404079,075640407X,"662 pages, Hardcover","Genres
Fantasy
Fiction
Epic Fantasy
High Fantasy
Audiobook
Magic
Science Fiction Fantasy"
115,116,The Metamorphosis,Franz Kafka,3.89,1279010,9780553213690,0553213695,"201 pages, Mass Market Paperback","Genres
Classics
Fiction
Fantasy
Philosophy
Short Stories
Literature
School"
116,117,The Master and Margarita,Mikhail Bulgakov,4.29,388621,9780679760801,0679760806,"372 pages, Paperback","Genres
Fiction
Russia
Fantasy
Russian Literature
Magical Realism
Literature
Novels"
117,118,A Story of Yesterday,Sergio Cobo,4.54,15031,Not found,B09F9L2VXP,"70 pages, Kindle Edition","Genres
Thriller
Mystery
Spanish Literature
European Literature
Fiction
Magical Realism
Crime"
118,119,The Count of Monte Cristo,Alexandre Dumas,4.31,967913,9780140449266,0140449264,"1276 pages, Paperback","Genres
Fiction
Historical Fiction
Adventure
Literature
France
Historical
Audiobook"
119,120,Eragon (The Inheritance Cycle #1),Christopher Paolini,3.96,1873609,9780375826696,B0042B4JAK,"503 pages, Paperback","Genres
Fantasy
Young Adult
Fiction
Dragons
Adventure
Magic
High Fantasy"
120,121,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,4.55,1090250,9781423101475,1423101472,"381 pages, Hardcover","Genres
Fantasy
Young Adult
Mythology
Fiction
Middle Grade
Adventure
Greek Mythology"
121,122,The Very Hungry Caterpillar,Eric Carle,4.34,531355,9780241003008,B01BITQJP6,"26 pages, Board book","Genres
Picture Books
Childrens
Fiction
Animals
Classics
Food
Counting"
122,123,Looking for Alaska,John Green,3.96,1691145,9781435249158,1435249151,"221 pages, Paperback","Genres
Young Adult
Fiction
Contemporary
Romance
Realistic Fiction
Coming Of Age
Teen"
123,124,Middlesex,Jeffrey Eugenides,4.04,652075,9780312422158,0312422156,"529 pages, Paperback","Genres
Fiction
Historical Fiction
Contemporary
LGBT
Classics
Literary Fiction
Queer"
124,125,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,4.16,892169,9780142403884,0142403881,"176 pages, Paperback","Genres
Fiction
Fantasy
Childrens
Young Adult
Middle Grade
Classics
Humor"
125,126,The Adventures of Tom Sawyer,Mark Twain,3.92,981551,9780143039563,0143039563,"244 pages, Paperback","Genres
Fiction
Classics
Adventure
Historical Fiction
Young Adult
Literature
Childrens"
126,127,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.24,2988979,Not found,B000QQKTGI,"206 pages, Paperback","Genres
Fantasy
Fiction
Young Adult
Childrens
Classics
Middle Grade
Adventure"
127,128,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,4.30,681193,Not found,0143034901,"487 pages, Paperback","Genres
Fiction
Historical Fiction
Mystery
Fantasy
Books About Books
Historical
Spain"
128,129,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,1545601,9781400032716,1400032717,"226 pages, Paperback","Genres
Fiction
Mystery
Young Adult
Classics
Autistic Spectrum Disorder
Novels
Contemporary"
129,130,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,4.19,1119352,Not found,B09WVKQ4G4,"210 pages, Paperback","Genres
Nonfiction
Memoir
Biography
Classics
Philosophy
Self Help
Inspirational"
130,131,The Unbearable Lightness of Being,Milan Kundera,4.11,511212,9780571224388,0571224385,"314 pages, Paperback","Genres
Fiction
Philosophy
Literature
Novels
Romance
Czech Literature
Classics"
131,132,The Name of the Rose,Umberto Eco,4.14,381445,9780156001311,0156001314,"552 pages, Paperback","Genres
Fiction
Historical Fiction
Mystery
Historical
Literature
Italy
Crime"
132,133,"Holes (Holes, #1)",Louis Sachar,4.01,1301313,9780439244190,0439244196,"272 pages, Paperback","Genres
Young Adult
Fiction
Middle Grade
Childrens
Classics
School
Realistic Fiction"
133,134,On the Road,Jack Kerouac,3.61,431012,9780140042597,0140042598,"307 pages, Paperback","Genres
Fiction
Travel
Literature
Classics
Novels
American
Adventure"
134,135,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.47,1065200,9781627792127,1627792120,"480 pages, Hardcover","Genres
Fantasy
Young Adult
Fiction
Young Adult Fantasy
LGBT
Adventure
Magic"
135,136,Where the Red Fern Grows,Wilson Rawls,4.12,426836,9780375806810,0375806814,"272 pages, Mass Market Paperback","Genres
Classics
Fiction
Young Adult
Childrens
Historical Fiction
Middle Grade
Animals"
136,137,"The Godfather (The Godfather, #1)",Mario Puzo,4.39,444913,Not found,Not found,"448 pages, Paperback","Genres
Fiction
Classics
Crime
Thriller
Historical Fiction
Mystery
Novels"
