,Unnamed: 0.1,Unnamed: 0,Good_Reads_Popularity_Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Genres,Series,Page_Number,Format,Rank_Score,Rating_Score,NumRatings_Score,Quality_Score,Genre_List,Cluster,PCA1,PCA2,Age_Group_Min
27,146,146,196.0,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.4,3642100.0,9781501139239,1501139231,"Fiction, Historical Fiction, LGBT, Contemporary, Audiobook, Queer, Historical",,389,Hardcover,0.6183953033268101,0.8500000000000001,0.3907674383238251,0.6772906854126589,"['Fiction', 'Historical Fiction', 'LGBT', 'Contemporary', 'Audiobook', 'Queer', 'Historical']",1,-0.010828676579755921,0.2549465951263697,18
28,40,40,56.0,The Handmaid’s Tale,Margaret Atwood,4.15,2236448.0,9780385490818,038549081X,"Fiction, Classics, Dystopia, Science Fiction, Feminism, Fantasy, Audiobook","The Handmaid's Tale, #1",311,Paperback,0.8923679060665362,0.7875000000000001,0.2399098107384205,0.6768194292012393,"['Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Feminism', 'Fantasy', 'Audiobook']",4,-0.05467786368359954,0.20307605137740548,18
29,21,21,31.0,City of Bones,Cassandra Clare,4.07,2098845.0,9781416914280,1416914285,"Fantasy, Young Adult, Romance, Paranormal, Urban Fantasy, Fiction, Vampires","The Mortal Instruments, #1",485,Hardcover,0.9412915851272016,0.7675000000000001,0.2251419577217176,0.6753583857122298,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Urban Fantasy', 'Fiction', 'Vampires']",0,-0.42132735808134575,-0.30963147003612995,8
30,7,7,9.0,The Chronicles of Narnia,C.S. Lewis,4.28,685690.0,9780066238500,0066238501,"Fantasy, Classics, Fiction, Young Adult, Childrens, Christian, Middle Grade","The Chronicles of Narnia, #1-7",767,Paperback,0.9843444227005872,0.8200000000000001,0.0734790918698194,0.6744558786426017,"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Christian', 'Middle Grade']",0,-0.38332853592888577,-0.35687504454651175,8
31,46,46,62.0,Dune,Frank Herbert,4.28,1527514.0,9780593099322,059309932X,"Science Fiction, Fantasy, Audiobook, Science Fiction Fantasy, Classics, Novels, Adventure","Dune, #1",658,Hardcover,0.8806262230919766,0.8200000000000001,0.1638254731110197,0.6711129240507492,"['Science Fiction', 'Fantasy', 'Audiobook', 'Science Fiction Fantasy', 'Classics', 'Novels', 'Adventure']",4,-0.16679854849244957,0.23953157589119908,18
32,26,26,37.0,Of Mice and Men,John Steinbeck,3.89,2700572.0,9780142000670,0142000671,"Fiction, School, Historical Fiction, Literature, Read For School, Novels, High School",,107,Paperback,0.929549902152642,0.7225,0.2897206071129488,0.6660676273163977,"['Fiction', 'School', 'Historical Fiction', 'Literature', 'Read For School', 'Novels', 'High School']",1,-0.21225156648114085,-0.2083300353616772,8
33,90,90,121.0,The Last Olympian,Rick Riordan,4.55,1090250.0,9781423101475,1423101472,"Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Greek Mythology","Percy Jackson and the Olympians, #5",381,Hardcover,0.7651663405088063,0.8875,0.1168973503121304,0.6642659227052341,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']",0,-0.39378061065221687,-0.3145511638780113,8
34,31,31,45.0,The Princess Bride,William Goldman,4.27,925418.0,9780345418265,0345418263,"Fantasy, Fiction, Romance, Humor, Adventure, Young Adult, Classics",,429,Paperback,0.913894324853229,0.8174999999999999,0.0992072218378299,0.6620253866727647,"['Fantasy', 'Fiction', 'Romance', 'Humor', 'Adventure', 'Young Adult', 'Classics']",0,-0.3850983315410033,-0.31979460256993847,8
35,85,85,115.0,The Name of the Wind,Patrick Rothfuss,4.52,1030105.0,9780756404079,075640407X,"Fantasy, Fiction, Epic Fantasy, High Fantasy, Audiobook, Magic, Science Fiction Fantasy","The Kingkiller Chronicle, #1",662,Hardcover,0.776908023483366,0.8799999999999999,0.1104424581972085,0.6618376204201436,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Audiobook', 'Magic', 'Science Fiction Fantasy']",0,-0.21109595077367097,0.17939046126879932,18
36,16,16,25.0,Les Misérables,Victor Hugo,4.21,824467.0,9780451525260,0451525264,"Fiction, Historical Fiction, Literature, France, Historical, Novels, French Literature",,1463,Mass Market Paperback,0.9530332681017613,0.8025,0.0883729411180115,0.6616015523049432,"['Fiction', 'Historical Fiction', 'Literature', 'France', 'Historical', 'Novels', 'French Literature']",1,-0.04960042860569595,0.2718736864139172,18
